,lmp
2009-10-01,31.8595459028
2009-10-02,25.4548042014
2009-10-03,24.8821354514
2009-10-04,33.7889235417
2009-10-05,24.2381952778
2009-10-06,31.6629853125
2009-10-07,30.1831974653
2009-10-08,32.0219290972
2009-10-09,37.7783472222
2009-10-10,37.2146847222
2009-10-11,40.1865722569
2009-10-12,71.3174804861
2009-10-13,56.7157059722
2009-10-14,64.3937590625
2009-10-15,56.9382692708
2009-10-16,54.0611549306
2009-10-17,68.3408301389
2009-10-18,39.5816039583
2009-10-19,44.0972540972
2009-10-20,51.6508423264
2009-10-21,43.8584245139
2009-10-22,47.5650645139
2009-10-23,49.8532335764
2009-10-24,38.8866415331
2009-10-25,85.1992744444
2009-10-26,46.9486214236
2009-10-27,43.578845
2009-10-28,53.6748236458
2009-10-29,70.8920444792
2009-10-30,55.5967076042
2009-10-31,32.4484802083
2009-11-01,32.7591877667
2009-11-02,44.5516947569
2009-11-03,54.9541230556
2009-11-04,47.3994270139
2009-11-05,45.7868238889
2009-11-06,41.9589255903
2009-11-07,32.2878878472
2009-11-08,38.5401746181
2009-11-09,52.1935497222
2009-11-10,38.3561342014
2009-11-11,33.9999494097
2009-11-12,39.173140625
2009-11-13,26.749205
2009-11-14,32.1624365972
2009-11-15,25.4191334375
2009-11-16,26.1348757292
2009-11-17,30.7323829514
2009-11-18,31.2485766667
2009-11-19,35.9448488889
2009-11-20,30.0002958333
2009-11-21,14.8909067361
2009-11-22,22.2032914583
2009-11-23,39.7983792361
2009-11-24,49.0760379861
2009-11-25,86.769210625
2009-11-26,27.8094385417
2009-11-27,23.7268966667
2009-11-28,30.3317738889
2009-11-29,32.6156998611
2009-11-30,34.5363027083
2009-12-01,44.6444703819
2009-12-02,42.2877117014
2009-12-03,45.6119604167
2009-12-04,46.3832082639
2009-12-05,42.6828705208
2009-12-06,39.8954428472
2009-12-07,100.117055278
2009-12-08,85.4613581597
2009-12-09,56.2912429167
2009-12-10,51.7982052431
2009-12-11,51.1423731597
2009-12-12,50.6877019792
2009-12-13,38.8317398958
2009-12-14,41.6395735069
2009-12-15,46.6213201042
2009-12-16,50.1099098958
2009-12-17,46.5360929861
2009-12-18,48.5133226736
2009-12-19,45.9726209375
2009-12-20,41.3651414236
2009-12-21,38.2929414583
2009-12-22,40.2276582639
2009-12-23,46.7890365625
2009-12-24,39.2392113889
2009-12-25,40.8657036806
2009-12-26,44.1188447222
2009-12-27,37.4851929167
2009-12-28,39.0831204861
2009-12-29,46.1507577083
2009-12-30,43.6604937847
2009-12-31,43.1627216319
2010-01-01,42.9855529861
2010-01-02,39.7785442361
2010-01-03,58.4350940625
2010-01-04,49.080665625
2010-01-05,45.8945693403
2010-01-06,44.5003295833
2010-01-07,52.9268351042
2010-01-08,51.6424951042
2010-01-09,51.5519273958
2010-01-10,47.7416069792
2010-01-11,56.9799550694
2010-01-12,62.4441366319
2010-01-13,28.9252221875
2010-01-14,38.6137603125
2010-01-15,45.1143204167
2010-01-16,46.6834348611
2010-01-17,56.1880979167
2010-01-18,64.7367689236
2010-01-19,63.2495975694
2010-01-20,56.9892302083
2010-01-21,54.5884974306
2010-01-22,53.0062978125
2010-01-23,42.9999818056
2010-01-24,47.6732305556
2010-01-25,50.8213658681
2010-01-26,46.254344375
2010-01-27,47.4416459722
2010-01-28,41.0589788194
2010-01-29,44.2844492014
2010-01-30,39.0426858681
2010-01-31,38.0341482639
2010-02-01,41.1625199306
2010-02-02,42.3923730208
2010-02-03,40.6429388889
2010-02-04,39.4573470486
2010-02-05,44.0948391319
2010-02-06,43.2318085764
2010-02-07,40.4351018056
2010-02-08,45.6525148611
2010-02-09,55.0762833681
2010-02-10,43.3916179861
2010-02-11,44.0250119444
2010-02-12,39.0048867361
2010-02-13,40.8291740278
2010-02-14,39.0334412153
2010-02-15,36.8337943056
2010-02-16,38.5810614931
2010-02-17,39.6487693403
2010-02-18,36.8729633681
2010-02-19,37.1981154514
2010-02-20,36.3409840625
2010-02-21,40.7031598611
2010-02-22,45.9018046875
2010-02-23,53.3136629167
2010-02-24,35.9583670486
2010-02-25,30.4157811458
2010-02-26,32.6125721875
2010-02-27,38.1508321875
2010-02-28,33.1807443403
2010-03-01,33.8500188542
2010-03-02,36.4232820833
2010-03-03,36.0498500694
2010-03-04,36.5460133333
2010-03-05,40.3423366667
2010-03-06,41.4393369444
2010-03-07,39.8540701389
2010-03-08,41.6562530903
2010-03-09,58.7573594792
2010-03-10,47.2069998611
2010-03-11,42.8048556597
2010-03-12,39.8366602083
2010-03-13,38.1362767014
2010-03-14,40.0899505072
2010-03-15,42.5085510417
2010-03-16,43.0286061806
2010-03-17,38.5612585764
2010-03-18,31.1785161111
2010-03-19,37.3594596181
2010-03-20,45.4864577083
2010-03-21,28.1639728472
2010-03-22,30.8863369792
2010-03-23,35.7740555556
2010-03-24,32.1260694444
2010-03-25,28.2372417708
2010-03-26,32.1962259375
2010-03-27,30.7758993056
2010-03-28,32.4634147917
2010-03-29,44.3950257986
2010-03-30,32.7796724653
2010-03-31,32.3290782639
2010-04-01,30.4536813194
2010-04-02,28.8907205556
2010-04-03,34.2937579167
2010-04-04,33.5615373958
2010-04-05,32.9842842361
2010-04-06,38.1135590972
2010-04-07,44.0056355903
2010-04-08,34.71770625
2010-04-09,28.6031381597
2010-04-10,48.0130581597
2010-04-11,39.0325351389
2010-04-12,45.8199342014
2010-04-13,36.0327518403
2010-04-14,35.7803496875
2010-04-15,44.2663799306
2010-04-16,23.6939025694
2010-04-17,42.9959709028
2010-04-18,32.5194980903
2010-04-19,29.5740053819
2010-04-20,60.5618422569
2010-04-21,35.7262379167
2010-04-22,26.0545786111
2010-04-23,27.0321180556
2010-04-24,16.6725782986
2010-04-25,39.6151180208
2010-04-26,32.6781140278
2010-04-27,28.8057506597
2010-04-28,26.4038824306
2010-04-29,22.2478704167
2010-04-30,22.6003948958
2010-05-01,16.2349563542
2010-05-02,29.4834739236
2010-05-03,25.4817759375
2010-05-04,34.1715122222
2010-05-05,30.5172861806
2010-05-06,30.0102677083
2010-05-07,82.4999626736
2010-05-08,33.0361990278
2010-05-09,28.8063351736
2010-05-10,29.6229755208
2010-05-11,22.304033125
2010-05-12,26.2805276042
2010-05-13,36.4879414236
2010-05-14,38.471424375
2010-05-15,41.6295267708
2010-05-16,23.6069498611
2010-05-17,44.4207774306
2010-05-18,35.3491525347
2010-05-19,32.3893852778
2010-05-20,26.1615762153
2010-05-21,71.4321537153
2010-05-22,34.7533861111
2010-05-23,13.9503436458
2010-05-24,28.4970350347
2010-05-25,56.1318112153
2010-05-26,33.4163532639
2010-05-27,58.8008587847
2010-05-28,20.0104295486
2010-05-29,21.1012277431
2010-05-30,23.2454840972
2010-05-31,20.2373562153
2010-06-01,19.3665942708
2010-06-02,30.4208870486
2010-06-03,53.4166897569
2010-06-04,64.2375738889
2010-06-05,52.3754702431
2010-06-06,16.9047977083
2010-06-07,16.0089040625
2010-06-08,25.6988375
2010-06-09,31.1858806944
2010-06-10,63.6500889931
2010-06-11,82.5570184722
2010-06-12,59.3556322222
2010-06-13,55.3473790278
2010-06-14,34.8412812153
2010-06-15,26.4568539583
2010-06-16,47.4419783333
2010-06-17,57.3708671181
2010-06-18,40.7507632986
2010-06-19,51.6372830903
2010-06-20,55.0749230208
2010-06-21,40.5227764583
2010-06-22,38.7672937153
2010-06-23,36.4926944097
2010-06-24,24.8426752778
2010-06-25,28.9577282292
2010-06-26,21.579310625
2010-06-27,35.2620753472
2010-06-28,29.6927107986
2010-06-29,18.728175
2010-06-30,21.9436753472
2010-07-01,20.7738135069
2010-07-02,27.7354470139
2010-07-03,26.6901567014
2010-07-04,22.8742639931
2010-07-05,47.9217147917
2010-07-06,18.4294445139
2010-07-07,26.3477155556
2010-07-08,25.2961661111
2010-07-09,24.0483378125
2010-07-10,31.8348573264
2010-07-11,21.6129089931
2010-07-12,22.1449044444
2010-07-13,38.9665401736
2010-07-14,49.6218500694
2010-07-15,50.2923910764
2010-07-16,28.5658198264
2010-07-17,27.4270684028
2010-07-18,30.2237442014
2010-07-19,34.5993662847
2010-07-20,28.9994815278
2010-07-21,29.6817448611
2010-07-22,31.4870094097
2010-07-23,42.7577523264
2010-07-24,39.9419945139
2010-07-25,33.576156875
2010-07-26,34.4557126389
2010-07-27,27.9034869097
2010-07-28,33.9086427431
2010-07-29,30.3235387153
2010-07-30,25.9748192708
2010-07-31,27.8498062153
2010-08-01,28.7975969444
2010-08-02,36.2987774306
2010-08-03,56.6566954167
2010-08-04,39.2367374653
2010-08-05,33.3457373264
2010-08-06,29.0595332639
2010-08-07,31.9028010417
2010-08-08,28.5622875694
2010-08-09,32.0885216319
