date,pst,storage
19641001,0000,0
19641101,0000,0
19641201,0000,64200
19650101,0000,77800
19650201,0000,87900
19650301,0000,98400
19650401,0000,113000
19650501,0000,118000
19650601,0000,135000
19650701,0000,135000
19650801,0000,135330
19650901,0000,127300
19651001,0000,111600
19651101,0000,112000
19651201,0000,99700
19660101,0000,89390
19660201,0000,80690
19660301,0000,90600
19660401,0000,121900
19660501,0000,133420
19660601,0000,128740
19660701,0000,127840
19660801,0000,126040
19660901,0000,119140
19661001,0000,104370
19661101,0000,103860
19661201,0000,92520
19670101,0000,96140
19670201,0000,91110
19670301,0000,90690
19670401,0000,79930
19670501,0000,103230
19670601,0000,134290
19670701,0000,126990
19670801,0000,106610
19670901,0000,85700
19671001,0000,71590
19671101,0000,61780
19671201,0000,58160
19680101,0000,59560
19680201,0000,79630
19680301,0000,93380
19680401,0000,114010
19680501,0000,129370
19680601,0000,128870
19680701,0000,116410
19680801,0000,103940
19680901,0000,91270
19681001,0000,76720
19681101,0000,69180
19681201,0000,61880
19690101,0000,79700
19690201,0000,65910
19690301,0000,48030
19690401,0000,57340
19690501,0000,123780
19690601,0000,134850
19690701,0000,122240
19690801,0000,102140
19690901,0000,81980
19691001,0000,66500
19691101,0000,55660
19691201,0000,61910
19700101,0000,102080
19700201,0000,90970
19700301,0000,84780
19700401,0000,92390
19700501,0000,118480
19700601,0000,127030
19700701,0000,115150
19700801,0000,94910
19700901,0000,74310
19701001,0000,56090
19701101,0000,59710
19701201,0000,50340
19710101,0000,46920
19710201,0000,43800
19710301,0000,55240
19710401,0000,74290
19710501,0000,109090
19710601,0000,132820
19710701,0000,120690
19710801,0000,100240
19710901,0000,79970
19711001,0000,58620
19711101,0000,54880
19711201,0000,52270
19720101,0000,43640
19720201,0000,43240
19720301,0000,71360
19720401,0000,91520
19720501,0000,122010
19720601,0000,130530
19720701,0000,129700
19720801,0000,127500
19720901,0000,108160
19721001,0000,88690
19721101,0000,71660
19721201,0000,62630
19730101,0000,53980
19730201,0000,40040
19730301,0000,43150
19730401,0000,69770
19730501,0000,122280
19730601,0000,127740
19730701,0000,111670
19730801,0000,90520
19730901,0000,78440
19731001,0000,65890
19731101,0000,70270
19731201,0000,62140
19740101,0000,73030
19740201,0000,66360
19740301,0000,90290
19740401,0000,106600
19740501,0000,135700
19740601,0000,132760
19740701,0000,126670
19740801,0000,111730
19740901,0000,95240
19741001,0000,76030
19741101,0000,56580
19741201,0000,51190
19750101,0000,53600
19750201,0000,51310
19750301,0000,43760
19750401,0000,47230
19750501,0000,100190
19750601,0000,134520
19750701,0000,126000
19750801,0000,111100
19750901,0000,95140
19751001,0000,78580
