date,pst,storage
20001001,0000,78756
20001002,0000,78756
20001003,0000,78756
20001004,0000,78756
20001005,0000,78756
20001006,0000,78850
20001007,0000,78650
20001008,0000,78331
20001009,0000,77908
20001010,0000,77485
20001011,0000,77064
20001012,0000,76539
20001013,0000,76329
20001014,0000,76225
20001015,0000,76120
20001016,0000,76016
20001017,0000,75390
20001018,0000,74663
20001019,0000,74043
20001020,0000,73425
20001021,0000,73015
20001022,0000,72605
20001023,0000,71993
20001024,0000,71384
20001025,0000,70878
20001026,0000,70374
20001027,0000,69871
20001028,0000,69671
20001029,0000,69370
20001030,0000,68871
20001031,0000,68573
20001101,0000,68077
20001102,0000,67483
20001103,0000,67089
20001104,0000,66696
20001105,0000,66305
20001106,0000,65914
20001107,0000,65330
20001108,0000,64845
20001109,0000,64266
20001110,0000,63784
20001111,0000,63114
20001112,0000,62542
20001113,0000,61878
20001114,0000,61123
20001115,0000,56956
20001116,0000,59626
20001117,0000,59069
20001118,0000,58423
20001119,0000,57871
20001120,0000,56956
20001121,0000,56141
20001122,0000,55510
20001123,0000,55061
20001124,0000,54792
20001125,0000,54168
20001126,0000,53636
20001127,0000,53194
20001128,0000,52667
20001129,0000,52229
20001130,0000,51880
20001201,0000,51532
20001202,0000,50840
20001203,0000,50496
20001204,0000,50496
20001205,0000,50496
20001206,0000,50496
20001207,0000,50496
20001208,0000,50496
20001209,0000,50496
20001210,0000,50582
20001211,0000,50582
20001212,0000,50668
20001213,0000,50668
20001214,0000,50754
20001215,0000,50754
20001216,0000,50840
20001217,0000,50840
20001218,0000,50840
20001219,0000,50840
20001220,0000,50840
20001221,0000,50926
20001222,0000,50926
20001223,0000,50926
20001224,0000,50926
20001225,0000,50926
20001226,0000,50926
20001227,0000,50926
20001228,0000,50926
20001229,0000,50926
20001230,0000,50926
20001231,0000,50926
20010101,0000,50926
20010102,0000,50926
20010103,0000,50926
20010104,0000,50926
20010105,0000,50926
20010106,0000,50926
20010107,0000,50926
20010108,0000,51013
20010109,0000,51013
