date,NA,Nafire,TA,Tafire
1/1/80,14.169227,13.96318602,13.79259149,14.3462651
1/2/80,6.464892101,7.087228733,6.533786458,6.843289149
1/3/80,5.765790017,6.85186441,5.882203212,6.354740799
1/4/80,5.473303559,7.134668576,5.571702951,6.29731849
1/5/80,5.25293776,7.409574566,5.363547222,6.278576823
1/6/80,4.967129601,6.670551649,5.075474219,5.81475217
1/7/80,4.596834983,5.478536285,4.698834201,5.12632092
1/8/80,4.953092535,5.77282717,5.138956424,5.476738628
1/9/80,15.26099905,16.24973594,15.4454941,15.81252969
1/10/80,4.938544271,5.675480642,5.079401302,5.411119097
1/11/80,7.546546267,8.212109028,7.687316406,7.996863108
1/12/80,51.45555842,53.36441658,52.70407075,52.95656641
1/13/80,84.65928385,87.17256866,82.75020677,85.67974661
1/14/80,52.5715125,56.39554488,53.44084123,55.73781823
1/15/80,28.21404106,28.3999388,28.13607491,28.47911241
1/16/80,22.33508108,22.49254583,22.48780512,22.55004601
1/17/80,18.54833342,18.98778646,18.8576296,18.8446296
1/18/80,11.21977075,11.67596016,11.46089818,11.4841447
1/19/80,9.27843967,9.716330903,9.486948611,9.570048177
1/20/80,8.259360417,8.510068576,8.304184462,8.453404601
1/21/80,8.314111632,9.14391901,7.760828472,8.795063108
1/22/80,7.048521007,8.965753559,6.958622396,7.839906163
1/23/80,6.428191927,8.439089931,6.478142622,7.367968924
1/24/80,6.218270139,9.06824592,6.288524306,7.531081684
1/25/80,5.978684201,8.993032118,6.062846788,8.116986719
1/26/80,5.776401042,8.174488021,5.881380556,7.168874826
1/27/80,5.539655469,7.559463889,5.655594705,6.587098872
1/28/80,5.573756771,6.706440451,5.764146962,6.208969271
1/29/80,5.08274158,5.847475608,5.198309549,5.551587934
1/30/80,5.130626042,5.613051302,5.136685938,5.448900347
1/31/80,4.959834028,6.631605816,4.921298958,5.793855122
2/1/80,5.064373438,7.847415017,5.014508507,6.262071788
2/2/80,4.879270139,7.937953472,4.936615712,6.273564149
2/3/80,4.852808594,7.809810938,4.934119531,6.276800608
2/4/80,4.918240799,7.885625087,5.010748438,6.398302083
2/5/80,5.123560677,8.116070399,5.228909201,6.753931076
2/6/80,5.264295833,8.353638628,5.397902431,7.693308594
2/7/80,5.050340885,6.90497934,5.23622283,6.425052517
2/8/80,4.861557639,6.395681771,5.043008073,5.930521007
2/9/80,4.665605208,6.564228125,4.84408099,5.868758594
2/10/80,4.756575868,7.186677604,4.901884722,6.201810243
2/11/80,4.752919618,7.130990885,4.910131597,6.161769792
2/12/80,4.761269184,7.131339583,4.932101823,6.19803776
2/13/80,4.830189497,7.364458247,5.005022569,6.41106059
2/14/80,15.23170503,20.11991606,15.03945286,17.78032569
2/15/80,24.08446128,29.6020145,24.15185929,27.48168854
2/16/80,37.16563116,41.1318454,38.32881858,40.58938542
2/17/80,46.36534861,53.69149071,46.5652191,52.03259931
2/18/80,61.5515717,63.13283325,62.58786241,59.19932439
2/19/80,42.37243472,44.02567925,42.89419965,43.11973724
2/20/80,21.92626832,22.27494479,21.95032509,22.38774575
2/21/80,16.63384193,16.91615408,16.71757682,16.68641745
2/22/80,12.47074427,12.69219679,12.56093177,12.51772257
2/23/80,9.666427604,9.860114063,9.762217969,9.725841667
2/24/80,9.0991875,9.338183247,9.006701302,9.358189931
2/25/80,7.874386632,9.428906771,7.874467882,8.698144271
2/26/80,7.289711632,10.28608299,7.314673438,8.651927691
2/27/80,7.027741319,10.06270304,7.086205208,8.591004861
2/28/80,10.50350686,13.30538377,11.05660043,11.9904349
2/29/80,7.793682813,10.58136128,7.531315278,9.519093142
3/1/80,6.69282092,8.144740365,6.887491406,7.683958073
3/2/80,6.192028646,7.847033594,6.353271528,7.234042969
3/3/80,11.93494002,12.69540165,11.42883941,13.00365738
3/4/80,9.438835069,10.13584497,9.336334809,10.13722057
3/5/80,6.514871007,7.30848941,6.71134592,7.166887587
3/6/80,6.575725,7.237514149,6.708216667,7.134581684
3/7/80,5.901452691,6.381658247,6.091030382,6.340172222
3/8/80,5.504209028,5.887074826,5.625755642,5.850617274
3/9/80,5.244317361,5.491447135,5.137891146,5.473488628
3/10/80,4.733435417,5.244232726,4.806551389,5.101751823
3/11/80,4.474442014,5.073642708,4.566436198,4.878084115
3/12/80,4.284741319,4.934797743,4.379809462,4.718357899
3/13/80,4.185690799,4.630852778,4.262290365,4.507824479
3/14/80,3.979585503,4.59470217,4.074605122,4.340130122
3/15/80,3.846075955,4.49359783,3.939227951,4.252612587
3/16/80,3.855533681,4.260105642,3.981209375,4.170703559
3/17/80,3.804539149,4.152439236,3.783668056,4.083149913
3/18/80,3.536437847,4.01428941,3.624340191,3.864769097
3/19/80,3.903348177,4.242888542,3.97224592,4.204061198
3/20/80,3.629267101,4.384018663,3.619821788,4.024036024
3/21/80,3.50021276,4.740759201,3.541958333,4.142340538
3/22/80,3.436695573,3.84388559,3.472107031,3.772146354
3/23/80,3.285207205,3.729748524,3.365790278,3.617932726
3/24/80,3.199121701,3.725769531,3.280833247,3.564188108
