date,Control,Treatment,weln_8,weln_50,weln_75,wmln_8,wmln_50,wmln_75,eeln_8,eeln_50,eeln_75,emln_8,emln_50,emln_75,welt_8,welt_50,welt_75,wmlt_8,wmlt_50,wmlt_75,eelt_8,eelt_50,eelt_75,emlt_8,emlt_50,emlt_75
10/1/80,0.716902884,0.71210637,0.71587522,0.701501471,0.694187125,0.716627637,0.718415613,0.717817741,0.711743134,0.691811429,0.656804322,0.716379464,0.721384669,0.720653686,0.712038686,0.712034174,0.7114081,0.712038686,0.71203643,0.712034174,0.711942801,0.702843863,0.668079288,0.712038686,0.716990873,0.716257633
10/2/80,0.688084317,0.683256217,0.686911134,0.672523848,0.66547798,0.687624068,0.689366922,0.688796123,0.682930208,0.663704669,0.630050106,0.687381535,0.692201738,0.691497829,0.683164844,0.683159204,0.682550051,0.683164844,0.68316146,0.683160332,0.683073471,0.674446063,0.641036289,0.683164844,0.687943309,0.687237143
10/3/80,0.660445702,0.655836446,0.65933569,0.645204473,0.638415804,0.660023807,0.661729435,0.661186837,0.655514948,0.636987679,0.604629258,0.65978917,0.664449189,0.663771225,0.655622114,0.655617602,0.655050187,0.655622114,0.655619858,0.65561873,0.655535253,0.647098487,0.614951013,0.655622114,0.660265212,0.659587247
10/4/80,0.633793011,0.629415008,0.632798062,0.619802802,0.613263434,0.633464746,0.635133147,0.634613111,0.629132992,0.611256614,0.580131163,0.633236877,0.637729943,0.637077924,0.629208573,0.62920406,0.628647926,0.629208573,0.629206316,0.629205188,0.629125096,0.620992906,0.590054713,0.629208573,0.633667797,0.633015777
10/5/80,0.609940168,0.605687379,0.608992597,0.595977032,0.589677941,0.609629951,0.611261127,0.610765908,0.605466279,0.58820695,0.558267091,0.609407723,0.613724811,0.61309761,0.605596006,0.605591494,0.605047768,0.605596006,0.60559375,0.605592622,0.605517042,0.597654458,0.567916522,0.605596006,0.609879252,0.609252051
10/6/80,0.587101451,0.582994182,0.586192234,0.57360082,0.567532982,0.586802514,0.588399848,0.587924935,0.582803539,0.566153363,0.537357358,0.586587055,0.590748471,0.590144958,0.582891528,0.582888144,0.582370364,0.582891528,0.582889272,0.582888144,0.582815948,0.575239892,0.546633401,0.582891528,0.587034895,0.586431383
10/7/80,0.565599485,0.56163548,0.564730879,0.55267191,0.546822915,0.565316342,0.566877578,0.566425226,0.561471911,0.545403815,0.517702028,0.565107651,0.569120163,0.56854034,0.561538467,0.561535083,0.56103648,0.561538467,0.561536211,0.561535083,0.561466271,0.55416095,0.5266295,0.561538467,0.56553857,0.564957619
10/8/80,0.544517159,0.540697545,0.543695931,0.532178431,0.526539255,0.544257705,0.545780587,0.545349668,0.54056105,0.525052471,0.498402037,0.544053526,0.547921646,0.547363256,0.540606172,0.540602788,0.540124491,0.540606172,0.540603916,0.540602788,0.540537361,0.533489237,0.506998988,0.540606172,0.544466396,0.543908006
10/9/80,0.524371123,0.520660931,0.523558919,0.512487003,0.507048623,0.524094748,0.525583788,0.525172046,0.520542485,0.505576503,0.479931171,0.523897337,0.527626706,0.527089749,0.520552637,0.520549253,0.52009126,0.520552637,0.520551509,0.520550381,0.52048721,0.513686132,0.488188576,0.520552637,0.524276366,0.523738281
10/10/80,0.504656006,0.501077797,0.503890053,0.493280642,0.488034031,0.504404448,0.505856262,0.505462569,0.500989809,0.486535967,0.461860767,0.504212678,0.507805551,0.507287771,0.500915357,0.5009131,0.500472029,0.500915357,0.500914228,0.5009131,0.500853313,0.494291384,0.469754936,0.500915357,0.504510486,0.503992706
10/11/80,0.48581852,0.482371167,0.485093177,0.474928222,0.46987451,0.485587268,0.487012008,0.48662734,0.482304611,0.468347116,0.444618359,0.48540001,0.488871052,0.488373578,0.482256104,0.482253848,0.481830825,0.482256104,0.482254976,0.482253848,0.482196317,0.475862256,0.452236153,0.482256104,0.485724891,0.485226288
