Date,Control,Treatment,NewFireModel_Treatment,NewFireModel_Control,OldFireModel_Extreme_Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Treatment,OldFireModel_Moderate_Treatment,bias_cor
1980-10-1,2.99398592,2.980224707,2.829613938,2.841590559,2.756819053,2.996979793,2.795278026,2.983472394,1.06706579
1980-10-2,2.941165605,3.026978311,2.898119937,2.907372291,2.830043729,3.042679788,2.764860998,2.932079076,1.06706579
1980-10-3,2.90121872,2.873577848,2.762951191,2.772180984,2.682249728,2.885103244,2.727209715,2.888275351,1.06706579
1980-10-4,2.683863983,2.666059801,2.549928207,2.560317646,2.486210826,2.676853086,2.514375118,2.668146713,1.06706579
1980-10-5,2.598366006,2.579285987,2.471620489,2.479853076,2.408138873,2.585167695,2.438921393,2.580762618,1.06706579
1980-10-6,2.434194819,2.414098417,2.299587847,2.309460634,2.247078877,2.418165076,2.278020455,2.414465037,1.06706579
1980-10-7,2.339547142,2.323083096,2.218114791,2.222554838,2.160581439,2.326055536,2.189451896,2.323894171,1.06706579
1980-10-8,2.276812302,2.260641551,2.114699826,2.12310275,2.105968636,2.263290238,2.12958233,2.257778533,1.06706579
1980-10-9,2.183805952,2.167362212,2.031390286,2.046584136,2.017488066,2.169246073,2.033344087,2.157289757,1.06706579
1980-10-10,2.038648229,2.022258635,1.936009369,1.951513436,1.877861224,2.023703681,1.891375391,2.012019228,1.06706579
1980-10-11,1.942391937,1.926250516,1.965292697,1.979698032,1.789543095,1.927627878,1.823469521,1.917985215,1.06706579
1980-10-12,1.803194886,1.787233955,1.673341562,1.686071727,1.664278722,1.788343967,1.658155609,1.780579525,1.06706579
1980-10-13,2.538860804,2.51914343,2.385376864,2.400005555,2.709737183,2.518273696,2.989401481,2.511047339,1.06706579
1980-10-14,2.505687922,2.48434727,2.395548587,2.402208658,2.639877512,2.490108276,2.894979416,2.490134221,1.06706579
1980-10-15,1.915365858,1.889748728,1.854168565,1.856138159,2.102956714,1.892560983,2.329983443,1.900946987,1.06706579
1980-10-16,1.687151281,1.677158919,1.644066131,1.645032879,1.808402014,1.678134692,2.038389903,1.686527464,1.06706579
1980-10-17,1.557188535,1.565588075,1.528048471,1.526697054,1.60061436,1.56155413,1.608061817,1.565564386,1.06706579
1980-10-18,1.437896116,1.449818589,1.419033813,1.418270115,1.409113647,1.449511757,1.428327905,1.449030075,1.06706579
1980-10-19,1.307111014,1.320835,1.285447736,1.286928879,1.259748257,1.320728962,1.277164386,1.317652741,1.06706579
1980-10-20,1.304301014,1.314535909,1.273726057,1.276246145,1.24141163,1.314936371,1.255708671,1.31232491,1.06706579
1980-10-21,1.112361485,1.117592303,1.10408716,1.107616862,1.047747296,1.119626196,1.052766038,1.116342411,1.06706579
1980-10-22,1.001187718,1.002166875,0.957919822,0.960924976,0.937835829,1.005238584,0.940335612,1.002116112,1.06706579
1980-10-23,0.934117741,0.932381656,0.890117733,0.891508632,0.873539753,0.935492847,0.874807693,0.93346685,1.06706579
1980-10-24,0.911744913,0.909903918,0.863208973,0.864669812,0.855245993,0.910099073,0.858647096,0.908399085,1.06706579
