,SFMD,FMD_storage,SHHL,HHL_storage,RFMD,FMD_out_FMPH,RHHL,HHL_out_MFPH
1980-10-01,92.34,92.34,155.3,155.3,333.499999438386,325.0,597.999998992968,587.0
1980-10-02,91.60280991859682,91.82,154.3080991752241,154.8,399.9999993264,291.0,919.9999984507199,572.0
1980-10-03,90.79157025054147,91.17,153.09603306156274,154.3,399.9999993264,296.0,919.9999984507199,466.0
1980-10-04,89.98033058248612,90.6,152.16165289784698,153.8,399.9999993264,277.0,919.9999984507199,587.0
1980-10-05,89.16909091443077,90.24,151.1287603376029,154.1,399.9999993264,143.0,919.9999984507199,0.0
1980-10-06,88.3618181885175,89.64,149.9923967031529,154.6,399.9999993264,296.0,919.9999984507199,0.0
1980-10-07,87.62289256992716,89.15,148.89768596119475,155.1,399.9999993264,275.0,919.9999984507199,0.0
1980-10-08,86.81165290187181,88.28,147.80066116965372,155.8,399.9999993264,378.0,919.9999984507199,0.0
1980-10-09,86.01249587842422,87.51,146.78776860937597,156.6,399.9999993264,386.0,919.9999984507199,0.0
1980-10-10,85.20125621036887,86.7,145.68677687569286,157.3,399.9999993264,380.0,919.9999984507199,0.0
1980-10-11,84.39001654231352,85.92,144.58578514200974,158.0,399.9999993264,380.0,919.9999984507199,0.0
1980-10-12,83.79970249372084,85.46,143.4740496066918,158.6,399.9999993264,335.0,919.9999984507199,0.0
1980-10-13,82.9884628256655,84.6,142.45123969105884,159.4,399.9999993264,391.0,919.9999984507199,0.0
1980-10-14,82.1959008435291,83.86,141.46214878363355,160.2,399.9999993264,374.0,919.9999984507199,0.0
1980-10-15,81.430429770438,83.11,140.4353719258585,161.0,399.9999993264,393.0,919.9999984507199,0.0
1980-10-16,80.61919010238265,82.3,139.32247936574913,161.7,399.9999993264,386.0,919.9999984507199,0.0
1980-10-17,79.8079504343273,81.44,138.39553721854978,162.1,399.9999993264,385.0,919.9999984507199,244.0
1980-10-18,79.1424793610678,80.79,137.2948760633785,161.4,399.9999993264,393.0,919.9999984507199,719.0
1980-10-19,78.33123969301245,79.93,136.23487606516355,161.3,399.9999993264,385.0,919.9999984507199,429.0
1980-10-20,77.5200000249571,79.13,135.4462810251692,161.4,399.9999993264,389.0,919.9999984507199,469.0
1980-10-21,76.70876035690175,78.36,134.36363639889322,161.2,399.9999993264,374.0,919.9999984507199,457.0
1980-10-22,75.92071077145198,77.59,133.38099177244882,161.1,399.9999993264,392.0,919.9999984507199,475.0
1980-10-23,75.10947110339663,76.75,132.39834714600443,161.0,399.9999993264,392.0,919.9999984507199,475.0
1980-10-24,74.3415868071691,76.02,131.29504136273843,160.7,399.9999993264,382.0,919.9999984507199,505.0
1980-10-25,73.53034713911374,75.22,130.52066119875323,160.6,399.9999993264,384.0,919.9999984507199,572.0
1980-10-26,72.84018185101979,74.51,129.52247938225236,160.3,399.9999993264,411.0,919.9999984507199,587.0
1980-10-27,72.02894218296444,73.63,128.58942153258397,160.2,399.9999993264,378.0,919.9999984507199,487.0
1980-10-28,71.21770251490909,72.71,127.41669426183157,159.9,399.9999993264,395.0,919.9999984507199,484.0
1980-10-29,70.44965292942564,71.96,126.64991740361869,160.0,399.9999993264,392.0,919.9999984507199,484.0
1980-10-30,69.638433096081,71.21,125.6723967441078,159.8,399.9999993264,346.0,919.9999984507199,481.0
1980-10-31,68.82723309744708,70.39,124.7095868283738,159.7,399.9999993264,390.0,919.9999984507199,481.0
1980-11-01,68.01605293352385,69.6,123.70826451601044,159.5,399.9999993264,386.0,919.9999984507199,508.0
1980-11-02,67.20491243902205,68.79,122.79090914565444,158.9,399.9999993264,386.0,919.9999984507199,752.0
1980-11-03,66.39377194452025,67.97,121.802148816741,158.3,399.9999993264,386.0,919.9999984507199,716.0
1980-11-04,65.5856397144762,67.17,120.77371906640676,157.7,399.9999993264,397.0,919.9999984507199,707.0
1980-11-05,64.7744992199744,66.36,119.80677691927475,157.1,399.9999993264,384.0,919.9999984507199,725.0
1980-11-06,63.97233393206905,65.61,118.73867774751972,156.5,399.9999993264,375.0,919.9999984507199,664.0
