datetime,Q-11427200,Q-11427500,Q-11427700,Q-11427750,Q-11427760,Q-11427960,Q-11428400,Q-11428600,Q-11428800,Q-11433060,Q-11433080,S-11427400,S-11428700
1970-10-01T00:00:00,339.0,9.0,0.39,0.44,19.0,,,,9.7,0.0,0.0,73600.0,122500.0
1970-10-02T00:00:00,339.0,8.7,0.39,0.44,19.0,,,,9.7,0.0,0.0,72900.0,121800.0
1970-10-03T00:00:00,339.0,8.4,0.39,0.44,19.0,,,,9.3,0.0,0.0,72300.0,120700.0
1970-10-04T00:00:00,339.0,8.1,0.39,0.44,19.0,,,,9.3,0.0,0.0,71600.0,119400.0
1970-10-05T00:00:00,339.0,8.1,0.39,0.44,19.0,,,,9.3,0.0,0.0,71000.0,118100.0
1970-10-06T00:00:00,339.0,8.1,0.39,0.44,19.0,,,,8.9,0.0,0.0,70300.0,116900.0
1970-10-07T00:00:00,339.0,8.1,0.44,0.48,19.0,,,,9.3,0.0,0.0,69600.0,115600.0
1970-10-08T00:00:00,339.0,8.1,0.5,0.52,20.0,,,,9.3,0.0,0.0,68900.0,114500.0
1970-10-09T00:00:00,339.0,8.1,0.5,0.52,20.0,,,,8.9,0.0,0.0,68200.0,113200.0
1970-10-10T00:00:00,339.0,8.1,0.5,0.52,20.0,,,,8.9,0.0,0.0,67600.0,112000.0
1970-10-11T00:00:00,339.0,8.1,0.5,0.52,20.0,,,,8.9,0.0,0.0,66900.0,110800.0
1970-10-12T00:00:00,339.0,8.1,0.5,0.52,20.0,,,,8.9,0.0,0.0,66200.0,109500.0
1970-10-13T00:00:00,339.0,8.1,0.5,0.52,20.0,,,,8.9,0.0,0.0,65500.0,108300.0
1970-10-14T00:00:00,339.0,8.1,0.5,0.52,19.0,,,,8.5,0.0,0.0,64800.0,107000.0
1970-10-15T00:00:00,339.0,8.1,0.5,0.48,19.0,,,,8.5,0.0,0.0,64200.0,105800.0
1970-10-16T00:00:00,339.0,8.1,0.5,0.48,19.0,,,,8.5,0.0,0.0,63500.0,104500.0
1970-10-17T00:00:00,339.0,8.1,0.5,0.48,19.0,,,,8.5,0.0,0.0,62700.0,103300.0
1970-10-18T00:00:00,339.0,8.1,0.5,0.52,19.0,,,,8.5,0.0,0.0,62100.0,102100.0
1970-10-19T00:00:00,334.0,8.1,0.56,0.61,20.0,,,,8.2,0.0,0.0,61400.0,101000.0
1970-10-20T00:00:00,334.0,8.4,2.0,1.5,23.0,,,,8.2,0.0,0.0,60700.0,99900.0
1970-10-21T00:00:00,334.0,8.1,2.2,1.5,23.0,,,,8.2,0.0,0.0,60000.0,98700.0
1970-10-22T00:00:00,277.0,8.1,4.7,3.4,25.0,,,,8.2,0.0,0.0,59500.0,98200.0
1970-10-23T00:00:00,334.0,8.7,4.4,3.0,28.0,,,,8.2,0.0,0.0,59000.0,97400.0
1970-10-24T00:00:00,334.0,8.4,4.7,3.8,31.0,,,,8.2,0.0,0.0,58300.0,97100.0
1970-10-25T00:00:00,348.0,8.1,2.9,2.1,24.0,,,,8.2,0.0,0.0,57700.0,96900.0
1970-10-26T00:00:00,239.0,8.1,2.5,1.8,23.0,,,,8.2,0.0,0.0,57000.0,96300.0
1970-10-27T00:00:00,72.0,8.1,2.0,1.3,22.0,,,,8.2,0.0,0.0,57000.0,95200.0
1970-10-28T00:00:00,114.0,7.9,1.9,1.2,22.0,,,,8.2,0.0,0.0,56600.0,94200.0
1970-10-29T00:00:00,114.0,7.9,2.2,1.3,21.0,,,,8.2,0.0,0.0,56300.0,93200.0
1970-10-30T00:00:00,114.0,7.9,2.0,1.2,21.0,,,,7.8,0.0,0.0,56100.0,92300.0
1970-10-31T00:00:00,0.0,7.9,2.0,1.3,22.0,,,,7.8,0.0,0.0,56100.0,91400.0
1970-11-01T00:00:00,0.0,7.9,2.2,1.2,21.0,,,,7.8,0.0,0.0,56100.0,90500.0
1970-11-02T00:00:00,114.0,7.9,2.0,1.2,21.0,,,,7.8,0.0,0.0,55800.0,89700.0
1970-11-03T00:00:00,110.0,7.9,1.9,1.1,21.0,,,,7.8,0.0,0.0,55500.0,88900.0
1970-11-04T00:00:00,114.0,8.1,7.3,3.9,24.0,,,,7.8,0.0,0.0,55300.0,88200.0
1970-11-05T00:00:00,129.0,10.0,46.0,16.0,63.0,,,,11.0,3.0,1.8,55600.0,88400.0
1970-11-06T00:00:00,100.0,9.0,15.0,8.4,52.0,,,,14.0,2.5,1.3,55600.0,87300.0
1970-11-07T00:00:00,98.0,9.0,9.9,5.4,51.0,,,,13.0,2.1,1.2,55400.0,86000.0
1970-11-08T00:00:00,0.0,8.4,9.5,3.3,43.0,,,,13.0,1.6,0.86,55500.0,84400.0
1970-11-09T00:00:00,0.0,9.0,31.0,10.0,37.0,,,,13.0,10.0,7.1,55800.0,83100.0
1970-11-10T00:00:00,0.0,8.7,22.0,9.3,46.0,,,,12.0,3.5,1.9,56000.0,82700.0
1970-11-11T00:00:00,0.0,9.0,29.0,18.0,38.0,,,,13.0,1.2,0.52,56300.0,81900.0
1970-11-12T00:00:00,0.0,9.3,27.0,12.0,73.0,,,,13.0,6.0,3.9,56600.0,81500.0
1970-11-13T00:00:00,0.0,8.7,12.0,6.1,40.0,,,,12.0,2.0,0.6,56700.0,80700.0
1970-11-14T00:00:00,0.0,8.4,9.5,5.7,34.0,,,,12.0,0.5,0.08,56800.0,79800.0
1970-11-15T00:00:00,0.0,8.4,7.6,3.9,31.0,,,,12.0,0.2,0.05,56900.0,78800.0
1970-11-16T00:00:00,0.0,8.4,6.4,2.9,29.0,,,,12.0,0.0,0.02,56900.0,77600.0
1970-11-17T00:00:00,0.0,8.1,5.4,2.2,27.0,,,,12.0,0.0,0.02,56900.0,76600.0
1970-11-18T00:00:00,0.0,8.4,4.9,1.5,26.0,,,,12.0,0.0,0.02,57000.0,75800.0
1970-11-19T00:00:00,114.0,8.4,4.4,0.89,25.0,,,,12.0,0.0,0.02,56800.0,74700.0
1970-11-20T00:00:00,114.0,8.4,3.7,0.83,24.0,,,,12.0,0.0,0.02,56500.0,74200.0
