date,streamflow,streamflow_thin,streamflow_fire,streamflow_fire_temperature
1/1/80,580.2500506,542.5588672,576.6928775,1403.410489
1/2/80,322.2582577,312.9135924,309.9307904,703.3107189
1/3/80,191.314746,190.8819559,187.4489152,438.3122595
1/4/80,242.8090421,264.3104729,241.4345829,351.6785446
1/5/80,258.7755477,241.7194579,272.5445998,310.5025721
1/6/80,186.6924487,195.7094938,218.7710246,372.825744
1/7/80,122.1387186,124.0750799,144.5840891,244.2424204
1/8/80,117.49228,115.6307726,125.9947097,219.3373487
1/9/80,607.4344013,702.3022829,639.5528143,1239.877052
1/10/80,224.3001734,250.5859189,228.3181022,713.1555389
1/11/80,199.8681671,215.5578846,215.4436319,1050.396924
1/12/80,3192.368497,3175.719263,3231.129386,4253.896938
1/13/80,3278.583723,3380.638374,3257.884173,4587.565693
1/14/80,2070.536344,1969.094467,2018.586471,2678.98452
1/15/80,993.0464562,990.9502286,968.6201068,1670.287187
1/16/80,785.1779262,770.9350918,738.447867,1219.779998
1/17/80,624.8545224,602.2366573,633.9286541,1126.673753
1/18/80,459.4804132,456.0452611,451.1177719,705.1420697
1/19/80,387.3221416,386.6555874,381.1445645,564.738365
1/20/80,335.3690417,335.6943115,330.9024277,411.5440869
1/21/80,301.0207078,302.8632528,300.3843502,403.3542589
1/22/80,216.6981018,220.61102,225.6158729,421.2364902
1/23/80,179.1876991,188.1200107,223.2262452,403.1439987
1/24/80,190.9109971,209.8901825,281.3300719,481.2185161
1/25/80,246.8026703,355.9302375,415.3001267,545.2946394
1/26/80,264.1158687,273.4012565,179.8034211,316.9944638
1/27/80,181.1293986,134.8797347,176.2998289,245.3134803
1/28/80,115.6574634,121.3480321,148.9909475,258.0952896
1/29/80,99.99479528,107.0877091,119.8099221,219.5373309
1/30/80,89.42039885,95.01017967,101.4482913,184.1802423
1/31/80,82.87365151,122.2986247,107.6155107,297.4165668
2/1/80,228.9709126,201.5647889,324.2350935,323.053645
2/2/80,278.1025906,390.0280758,404.7632568,334.9385223
2/3/80,306.4693459,386.2504044,542.7113636,385.3076996
2/4/80,327.0063207,395.445601,550.295389,363.9244654
2/5/80,481.8936352,579.0856125,561.0727554,378.6878512
2/6/80,450.0335259,531.3042923,463.5426011,340.532008
