date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
01Oct1980,84758,84758,84754,84757,84757,84758
02Oct1980,84549,84548,84541,84548,84548,84549
03Oct1980,84340,84339,84328,84339,84338,84339
04Oct1980,84098,84097,84082,84096,84095,84097
05Oct1980,83789,83789,83770,83788,83786,83789
06Oct1980,83481,83480,83458,83479,83477,83481
07Oct1980,83008,83007,82981,83005,83003,83007
08Oct1980,82600,82599,82570,82598,82595,82600
09Oct1980,82259,82258,82225,82256,82253,82258
10Oct1980,81819,81817,81781,81815,81812,81818
11Oct1980,81544,81542,81502,81540,81537,81543
12Oct1980,81170,81168,81124,81165,81162,81169
13Oct1980,80762,80760,80713,80758,80754,80761
14Oct1980,80388,80386,80335,80383,80379,80387
15Oct1980,80080,80078,80023,80075,80071,80079
16Oct1980,79673,79671,79612,79667,79663,79672
17Oct1980,79299,79296,79235,79293,79288,79298
18Oct1980,78793,78790,78725,78786,78781,78791
19Oct1980,78386,78383,78314,78379,78374,78384
20Oct1980,77979,77975,77903,77971,77966,77977
21Oct1980,77605,77601,77525,77597,77591,77603
22Oct1980,77363,77359,77280,77355,77349,77361
23Oct1980,76989,76985,76902,76981,76974,76987
24Oct1980,76450,76446,76359,76441,76434,76448
25Oct1980,75910,75907,75816,75902,75895,75908
26Oct1980,75338,75334,75240,75329,75322,75336
27Oct1980,74799,74795,74697,74790,74782,74797
28Oct1980,74359,74355,74253,74349,74341,74357
29Oct1980,74085,74080,74008,74074,74066,74082
30Oct1980,73810,73805,73730,73799,73791,73808
31Oct1980,73432,73427,73353,73421,73412,73433
01Nov1980,73053,73049,72981,73043,73034,73063
02Nov1980,72708,72704,72643,72698,72688,72727
03Nov1980,72330,72326,72272,72320,72310,72357
04Nov1980,71985,71981,71901,71975,71965,71987
05Nov1980,71673,71669,71595,71663,71653,71683
06Nov1980,71261,71258,71191,71285,71274,71280
07Nov1980,70751,70747,70655,70774,70764,70745
08Nov1980,70207,70204,70118,70231,70220,70210
09Nov1980,69829,69826,69714,69853,69842,69807
10Nov1980,69418,69415,69309,69442,69430,69404
11Nov1980,69040,69037,68938,69064,69052,69035
12Nov1980,68761,68758,68666,68785,68773,68764
13Nov1980,68515,68513,68427,68540,68527,68527
14Nov1980,68170,68168,68089,68195,68182,68190
15Nov1980,67924,67922,67850,67949,67936,67952
16Nov1980,67579,67577,67512,67604,67591,67616
17Nov1980,67168,67166,67108,67193,67179,67213
18Nov1980,66856,66854,66803,66881,66867,66909
19Nov1980,66610,66609,66564,66636,66621,66672
20Nov1980,66331,66330,66292,66357,66342,66401
21Nov1980,66052,66051,66020,66078,66063,66131
22Nov1980,65740,65740,65715,65767,65751,65827
23Nov1980,65495,65494,65410,65521,65505,65524
24Nov1980,65249,65248,65171,65275,65259,65286
25Nov1980,65003,65003,64932,65030,65013,65049
26Nov1980,64823,64823,64760,64850,64833,64877
27Nov1980,64578,64578,64521,64605,64587,64640
28Nov1980,64200,64200,64150,64227,64209,64270
29Nov1980,63722,63723,63613,63750,63732,63735
30Nov1980,63294,63296,63247,63323,63305,63349
01Dec1980,62884,62888,62918,62914,62897,63013
02Dec1980,62507,62514,62590,62538,62521,62678
03Dec1980,62198,62207,62264,62231,62214,62311
04Dec1980,61897,61909,61979,61931,61915,62019
05Dec1980,61520,61501,61651,61523,61507,61683
06Dec1980,61142,61127,61256,61147,61132,61348
07Dec1980,60732,60719,60829,60738,60723,60913
08Dec1980,60322,60311,60402,60329,60315,60511
09Dec1980,59978,59970,60073,59987,59973,60176
10Dec1980,59666,59661,59745,59677,59664,59840
11Dec1980,59256,59254,59252,59268,59255,59405
12Dec1980,58813,58813,58758,58827,58814,58904
13Dec1980,58336,58306,58232,58319,58306,58337
14Dec1980,57926,57898,57837,57910,57898,57936
15Dec1980,57549,57524,57377,57534,57523,57501
16Dec1980,57106,57083,56950,57093,57081,57099
17Dec1980,56695,56675,56555,56684,56673,56697
18Dec1980,56285,56268,56095,56275,56265,56230
19Dec1980,55908,55893,55634,55900,55890,55762
20Dec1980,55498,55485,55273,55491,55481,55393
21Dec1980,55091,55049,54883,55086,55077,55029
22Dec1980,54695,54655,54470,54691,54683,54608
23Dec1980,54252,54214,54108,54250,54241,54206
24Dec1980,53809,53774,53681,53808,53800,53772
25Dec1980,53465,53432,53320,53465,53458,53436
26Dec1980,52955,52925,52860,52924,52951,52935
27Dec1980,52479,52452,52432,52450,52476,52468
28Dec1980,52069,52044,52038,52041,52068,52099
29Dec1980,51625,51603,51578,51599,51627,51631
30Dec1980,51116,51097,51084,51092,51119,51131
31Dec1980,50577,50562,50599,50623,50580,50610
01Jan1981,50702,50693,50783,50755,50703,50765
02Jan1981,50827,50825,50967,50887,50826,50920
03Jan1981,50952,50956,51151,51019,50949,51074
04Jan1981,51077,51087,51335,51151,51071,51229
05Jan1981,51202,51219,51519,51283,51194,51383
06Jan1981,51327,51350,51703,51415,51317,51538
07Jan1981,51452,51481,51887,51547,51440,51692
08Jan1981,51577,51613,52070,51679,51563,51847
09Jan1981,51702,51744,52254,51811,51686,52002
10Jan1981,51827,51876,52438,51944,51808,52156
11Jan1981,51952,52007,52622,52076,51931,52311
12Jan1981,52077,52138,52806,52208,52054,52465
13Jan1981,52202,52270,52990,52340,52177,52620
14Jan1981,52327,52401,53174,52472,52300,52774
15Jan1981,52452,52532,53358,52604,52422,52929
16Jan1981,52577,52664,53542,52736,52545,53083
17Jan1981,52702,52795,53726,52868,52668,53238
18Jan1981,52827,52926,53909,53000,52791,53392
19Jan1981,52952,53058,54093,53132,52914,53547
20Jan1981,53077,53189,54277,53264,53037,53701
21Jan1981,53201,53320,54461,53396,53159,53856
22Jan1981,53326,53452,54645,53528,53282,54011
23Jan1981,53451,53583,54829,53660,53405,54165
24Jan1981,53576,53714,55013,53792,53528,54320
25Jan1981,53701,53846,55197,53924,53651,54474
26Jan1981,53826,53977,55380,54056,53773,54629
27Jan1981,53951,54108,55564,54188,53896,54783
28Jan1981,54076,54240,55748,54320,54019,54938
29Jan1981,54201,54371,55932,54452,54142,55092
30Jan1981,54326,54502,56116,54584,54264,55247
31Jan1981,54509,54687,56400,54777,54451,55490
01Feb1981,54748,54923,56783,55029,54701,55821
02Feb1981,54988,55159,57166,55281,54951,56152
03Feb1981,55227,55396,57549,55533,55201,56483
04Feb1981,55467,55632,57931,55785,55451,56814
05Feb1981,55706,55869,58314,56037,55701,57145
06Feb1981,55945,56105,58697,56289,55951,57476
07Feb1981,56185,56341,59080,56541,56201,57807
08Feb1981,56424,56578,59463,56793,56451,58138
09Feb1981,56664,56814,59846,57045,56701,58469
10Feb1981,56903,57050,60229,57297,56951,58800
11Feb1981,57143,57287,60611,57549,57201,59131
12Feb1981,57382,57523,60994,57801,57451,59462
13Feb1981,57653,57791,61409,58085,57733,59824
14Feb1981,58073,58208,61972,58517,58163,60336
15Feb1981,58388,58520,62430,58844,58488,60742
16Feb1981,58718,58847,62904,59187,58829,61164
17Feb1981,59057,59183,63386,59539,59178,61594
18Feb1981,59379,59502,63852,59874,59512,62008
19Feb1981,59734,59854,64350,60241,59876,62454
20Feb1981,60070,60187,64830,60590,60224,62882
21Feb1981,60381,60495,65284,60913,60545,63284
22Feb1981,60686,60797,65732,61230,60860,63681
23Feb1981,60991,61098,66180,61548,61175,64077
24Feb1981,61285,61390,66618,61855,61481,64463
25Feb1981,61574,61676,67051,62157,61780,64844
26Feb1981,61855,61954,67475,62450,62072,65216
27Feb1981,62134,62230,67897,62742,62361,65586
28Feb1981,62425,62521,68314,63047,62665,65963
01Mar1981,62733,62834,68730,63372,62990,66352
02Mar1981,63037,63142,69143,63692,63311,66737
03Mar1981,63339,63448,69554,64011,63630,67120
04Mar1981,63643,63757,69966,64332,63950,67505
05Mar1981,63947,64065,70379,64653,64271,67890
06Mar1981,64251,64374,70792,64974,64592,68275
07Mar1981,64555,64682,71204,65295,64913,68660
08Mar1981,64859,64991,71617,65615,65234,69045
09Mar1981,65163,65299,72029,65936,65554,69430
10Mar1981,65467,65607,72442,66257,65875,69815
11Mar1981,65771,65916,72854,66578,66196,70200
12Mar1981,66075,66224,73267,66898,66516,70585
13Mar1981,66378,66533,73679,67219,66837,70970
14Mar1981,66682,66841,74092,67540,67158,71355
15Mar1981,66976,67139,74494,67851,67469,71730
16Mar1981,67272,67440,74899,68163,67781,72107
17Mar1981,67568,67740,75303,68476,68094,72483
18Mar1981,67864,68040,75708,68789,68407,72860
19Mar1981,68164,68345,76116,69105,68723,73241
20Mar1981,68464,68649,76525,69422,69040,73622
21Mar1981,68768,68957,76937,69743,69361,74007
22Mar1981,69077,69271,77355,70069,69687,74397
23Mar1981,69399,69598,77786,70408,70026,74800
24Mar1981,69721,69924,78216,70746,70364,75203
25Mar1981,70120,70327,78723,71162,70780,75683
26Mar1981,70475,70687,79187,71534,71152,76119
27Mar1981,70795,71011,79615,71870,71488,76519
28Mar1981,71112,71333,80041,72205,71823,76918
29Mar1981,71428,71653,80466,72537,72155,77314
30Mar1981,71736,71965,80882,72862,72479,77703
31Mar1981,72085,72320,81363,73229,72849,78145
01Apr1981,72462,72705,81894,73626,73248,78627
02Apr1981,72833,73083,82419,74016,73642,79103
03Apr1981,73203,73459,82942,74404,74034,79577
04Apr1981,73578,73841,83471,74798,74431,80056
05Apr1981,73965,74235,84011,75204,74840,80548
06Apr1981,74361,74639,84562,75620,75260,81049
07Apr1981,74758,75043,85113,76036,75679,81550
08Apr1981,75153,75445,85661,76450,76096,82050
09Apr1981,75554,75853,86216,76870,76519,82555
10Apr1981,75954,76260,86770,77290,76942,83060
11Apr1981,76347,76660,87316,77701,77358,83557
12Apr1981,76738,77058,87861,78111,77771,84052
13Apr1981,77134,77462,88411,78527,78190,84553
14Apr1981,77547,77881,88977,78958,78624,85070
15Apr1981,77971,78312,89555,79402,79071,85599
16Apr1981,78399,78748,90137,79849,79522,86131
17Apr1981,78833,79189,90725,80302,79978,86670
18Apr1981,79279,79642,91324,80767,80447,87220
19Apr1981,79719,80089,91918,81226,80909,87765
20Apr1981,80145,80522,92498,81671,81358,88295
21Apr1981,80589,80973,93095,82134,81824,88843
22Apr1981,81067,81458,93727,82631,82324,89425
23Apr1981,81596,81994,94409,83179,82876,90059
24Apr1981,82167,82572,95134,83769,83469,90734
25Apr1981,82739,83152,95860,84361,84064,91411
26Apr1981,83271,83690,96545,84911,84618,92047
27Apr1981,83762,84189,97190,85422,85131,92643
28Apr1981,84263,84697,97845,85942,85655,93249
29Apr1981,84797,85237,98532,86495,86211,93886
30Apr1981,85436,85876,99252,87139,86856,94581
01May1981,86148,86580,99970,87841,87558,95300
02May1981,86817,87239,100645,88500,88215,95976
03May1981,87438,87851,101273,89111,88825,96603
04May1981,88031,88436,101872,89695,89408,97203
05May1981,88608,89004,102456,90262,89974,97787
06May1981,89167,89554,103021,90812,90522,98353
07May1981,89715,90093,103575,91349,91059,98907
08May1981,90258,90628,104125,91883,91591,99458
09May1981,90803,91164,104677,92419,92126,100010
10May1981,91347,91698,105226,92952,92658,100560
11May1981,91886,92229,105772,93482,93186,101106
12May1981,92419,92753,106312,94005,93709,101646
13May1981,92950,93276,106849,94527,94229,102184
14May1981,93477,93794,107383,95044,94745,102718
15May1981,94001,94308,107913,95558,95258,103248
16May1981,94516,94815,108434,96063,95762,103770
17May1981,95025,95315,108950,96563,96260,104286
18May1981,95582,95863,109513,97110,96806,104850
19May1981,96134,96407,110072,97653,97348,105409
20May1981,96663,96927,110608,98172,97866,105945
21May1981,97182,97437,111133,98681,98374,106471
22May1981,97695,97941,111652,99184,98877,106991
23May1981,98179,98416,112142,99658,99349,107481
24May1981,98662,98890,112631,100131,99821,107971
25May1981,99145,99364,113121,100605,100294,108460
26May1981,99662,99872,113644,101112,100799,108984
