date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
10/31/80,0,0,0,0,0,0
11/30/80,0,0,0,0,0,0
12/31/80,0,0,0,0,0,0
1/31/81,0,0,0,0,0,0
2/28/81,0,0,0,0,0,0
3/31/81,0,0,0,0,0,0
4/30/81,0,0,0,0,0,0
5/31/81,0,0,0,0,0,0
6/30/81,0,0,0,0,0,0
7/31/81,3193,3215,3544,3253,3230,3416
8/31/81,3608,3619,4205,3698,3686,4065
9/30/81,3552,3593,4333,3670,3638,4049
10/31/81,4482,4482,4471,4482,4482,4482
11/30/81,3301,3301,3371,3290,3290,3372
12/31/81,4359,4389,5407,4370,4379,5058
1/31/82,7814,7814,7823,7815,7816,7825
2/28/82,4823,4820,4838,4824,4826,4836
3/31/82,7210,7216,7217,7210,7210,7217
4/30/82,4615,4615,4628,4618,4618,4625
5/31/82,1138,1138,1138,1138,1138,1138
6/30/82,4389,4389,4389,4389,4389,4389
7/31/82,8009,8009,8003,8008,8008,8005
8/31/82,7722,7714,7610,7705,7702,7633
9/30/82,7170,7170,7187,7169,7169,7184
10/31/82,4926,4966,6704,5021,5021,6128
11/30/82,7388,7386,7534,7397,7395,7488
12/31/82,6177,6178,6000,6186,6183,5983
1/31/83,2494,2494,2869,2506,2505,2752
2/28/83,4278,4289,4648,4301,4300,4568
3/31/83,6162,6194,6583,6218,6217,6454
4/30/83,7646,7648,7723,7654,7655,7700
5/31/83,7985,7986,8098,7997,7998,8067
6/30/83,1524,1523,1542,1525,1525,1536
7/31/83,4671,4671,4670,4671,4671,4671
8/31/83,7933,7933,7931,7933,7933,7932
9/30/83,7314,7314,7314,7314,7313,7316
10/31/83,3355,3324,4974,3334,3365,4438
11/30/83,4876,4825,6512,4917,4949,5999
12/31/83,7545,7545,7587,7549,7548,7575
1/31/84,4289,4289,5539,4332,4290,5038
2/29/84,4234,4257,5361,4279,4279,5017
3/31/84,4190,4212,4915,4213,4224,4699
4/30/84,2512,2512,2519,2512,2512,2521
5/31/84,1853,1853,1852,1853,1853,1850
6/30/84,3193,3192,3332,3193,3193,3327
7/31/84,3383,3383,3363,3384,3383,3361
8/31/84,5981,5962,6079,6004,5989,6040
9/30/84,6425,6424,6408,6425,6425,6407
10/31/84,5267,5267,5571,5267,5267,5562
11/30/84,5801,5751,7246,5881,5851,7219
12/31/84,5718,5719,4876,5717,5716,4853
1/31/85,0,0,0,0,0,0
2/28/85,0,0,0,0,0,0
3/31/85,0,0,0,0,0,0
4/30/85,53,53,202,53,53,128
5/31/85,0,0,0,0,0,0
6/30/85,0,0,0,0,0,0
7/31/85,2918,2919,4363,3061,3061,4011
8/31/85,4643,4707,5070,4773,4774,4937
9/30/85,5506,5527,5650,5528,5538,5629
10/31/85,1548,1548,2027,1559,1558,1925
11/30/85,2133,2133,3653,2163,2173,3141
12/31/85,3845,3925,6223,3964,4014,5514
1/31/86,0,0,157,0,0,42
2/28/86,4135,4124,5197,4135,4135,4531
3/31/86,6157,6166,5604,6157,6166,6385
4/30/86,4912,4912,4753,4912,4911,4838
5/31/86,1871,1871,1870,1871,1871,1870
6/30/86,0,0,0,0,0,0
7/31/86,4067,4067,4073,4067,4067,4075
8/31/86,3704,3707,3444,3688,3678,3540
9/30/86,7124,7124,7136,7124,7124,7138
10/31/86,1972,1972,2252,1982,1982,2222
11/30/86,1862,1872,3021,1872,1872,2585
12/31/86,5779,5760,7456,6037,6077,7422
1/31/87,0,0,0,0,0,0
2/28/87,0,0,0,0,0,0
3/31/87,0,0,0,0,0,0
4/30/87,0,0,0,0,0,0
5/31/87,0,0,0,0,0,0
6/30/87,0,0,0,0,0,0
7/31/87,2325,2347,2937,2382,2383,2735
8/31/87,2606,2628,3245,2632,2654,3076
9/30/87,2164,2185,3156,2229,2250,2829
10/31/87,1100,1100,1334,1100,1100,1335
11/30/87,675,675,836,675,675,846
12/31/87,780,780,1641,780,780,1522
1/31/88,0,0,0,0,0,0
2/29/88,0,0,0,0,0,0
3/31/88,0,0,0,0,0,0
4/30/88,0,0,0,0,0,0
5/31/88,0,0,0,0,0,0
6/30/88,112,112,116,112,112,115
7/31/88,2397,2419,3042,2464,2466,2852
8/31/88,2635,2677,3356,2721,2743,3148
9/30/88,2128,2169,3167,2240,2281,2866
10/31/88,1837,1848,3106,1939,1950,2740
11/30/88,1494,1524,2550,1554,1564,2275
12/31/88,2270,2299,4469,2387,2436,3803
1/31/89,0,0,0,0,0,0
2/28/89,0,0,0,0,0,0
3/31/89,0,0,0,0,0,0
4/30/89,658,658,994,734,734,936
5/31/89,1768,1769,1905,1792,1792,1857
6/30/89,3492,3491,3502,3491,3491,3491
7/31/89,4946,4934,4945,4944,4944,4944
8/31/89,6107,6106,6139,6116,6127,6117
9/30/89,6238,6236,6263,6246,6256,6258
10/31/89,1908,1919,3241,1998,2027,2834
11/30/89,1807,1827,3455,1866,1895,3000
12/31/89,2872,2962,6230,3020,3066,5205
1/31/90,0,0,0,0,0,0
2/28/90,0,0,0,0,0,0
3/31/90,0,0,0,0,0,0
4/30/90,0,0,0,0,0,0
5/31/90,0,0,0,0,0,0
6/30/90,0,0,0,0,0,0
7/31/90,2887,2888,3445,2959,2992,3296
8/31/90,3166,3198,4024,3257,3279,3760
9/30/90,2969,2979,3916,3150,3161,3670
10/31/90,3004,3004,3846,2993,2993,3551
11/30/90,2640,2630,3591,2599,2609,3260
12/31/90,3843,3862,5552,3822,3842,4928
1/31/91,0,0,0,0,0,0
2/28/91,0,0,0,0,0,0
3/31/91,0,0,0,0,0,0
4/30/91,0,0,0,0,0,0
5/31/91,0,0,0,0,0,0
6/30/91,0,0,0,0,0,0
7/31/91,2983,2987,3645,2994,2995,3355
8/31/91,3281,3296,4228,3305,3315,3887
9/30/91,3170,3185,4331,3194,3194,3833
10/31/91,2527,2537,3776,2652,2692,3438
11/30/91,1955,1955,2845,2017,2017,2669
12/31/91,2376,2396,3672,2504,2504,3355
1/31/92,0,0,0,0,0,0
2/29/92,0,0,0,0,0,0
3/31/92,0,0,0,0,0,0
4/30/92,0,0,0,0,0,0
5/31/92,0,0,0,0,0,0
6/30/92,0,0,126,0,0,0
7/31/92,1737,1737,2694,1751,1762,1969
8/31/92,3370,3411,3970,3488,3509,3967
9/30/92,3236,3246,3855,3320,3360,3802
10/31/92,1917,1990,3968,2156,2166,3471
11/30/92,1760,1890,3979,2012,2022,3509
12/31/92,2736,2825,6079,2984,3014,5029
1/31/93,0,0,0,0,0,0
2/28/93,1310,1311,1664,1342,1372,1581
3/31/93,2218,2251,3049,2295,2348,2871
4/30/93,5508,5575,7166,5751,5752,6716
5/31/93,2627,2637,2772,2638,2638,2749
6/30/93,4747,4746,4910,4782,4782,4885
7/31/93,6947,6946,7166,6991,6992,7140
8/31/93,6682,6672,6825,6623,6646,6772
9/30/93,7020,7030,7031,7029,7029,7031
10/31/93,1371,1381,2094,1421,1421,2053
11/30/93,1312,1331,2575,1400,1400,2210
12/31/93,2965,2974,5813,3032,3080,4977
1/31/94,0,0,0,0,0,0
2/28/94,0,0,0,0,0,0
3/31/94,0,0,0,0,0,0
