date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
01Oct1980,129284,129284,129284,129284,129284,129284
02Oct1980,128753,128753,128753,128753,128753,128753
03Oct1980,128142,128142,128142,128142,128142,128142
04Oct1980,127275,127275,127275,127275,127275,127275
05Oct1980,126258,126258,126258,126258,126258,126258
06Oct1980,125531,125531,125531,125531,125531,125531
07Oct1980,124681,124681,124681,124681,124681,124681
08Oct1980,123982,123982,123982,123982,123982,123982
09Oct1980,123362,123362,123362,123362,123362,123362
10Oct1980,122552,122552,122552,122552,122552,122552
11Oct1980,121939,121939,121939,121939,121939,121939
12Oct1980,121307,121307,121307,121307,121307,121307
13Oct1980,120627,120627,120627,120627,120627,120627
14Oct1980,120002,120002,120002,120002,120002,120002
15Oct1980,119523,119523,119523,119523,119523,119523
16Oct1980,118917,118917,118917,118917,118917,118917
17Oct1980,118349,118349,118349,118349,118349,118349
18Oct1980,117837,117837,117837,117837,117837,117837
19Oct1980,117295,117295,117295,117295,117295,117295
20Oct1980,116753,116753,116753,116753,116753,116753
21Oct1980,116247,116247,116247,116247,116247,116247
22Oct1980,115898,115898,115898,115898,115898,115898
23Oct1980,115536,115536,115536,115536,115536,115536
24Oct1980,114903,114903,114903,114903,114903,114903
25Oct1980,114357,114357,114357,114357,114357,114357
26Oct1980,114029,114029,114029,114029,114029,114029
27Oct1980,113695,113695,113695,113695,113695,113695
28Oct1980,113402,113402,113402,113402,113402,113402
29Oct1980,113156,113156,113123,113156,113156,113156
30Oct1980,112911,112911,112878,112911,112911,112911
31Oct1980,112801,112801,112768,112801,112801,112801
01Nov1980,112518,112518,112485,112518,112518,112446
02Nov1980,112274,112274,112241,112274,112274,112201
03Nov1980,112062,112062,111957,112062,112062,111917
04Nov1980,111962,111962,111889,111962,111962,111850
05Nov1980,111827,111827,111755,111827,111827,111716
06Nov1980,111430,111430,111357,111396,111396,111318
07Nov1980,111259,111259,111220,111226,111226,111181
08Nov1980,111023,111023,110984,110990,110990,110944
09Nov1980,110613,110613,110607,110580,110652,110567
10Nov1980,110446,110446,110440,110413,110486,110401
11Nov1980,110273,110273,110267,110240,110312,110228
12Nov1980,110139,110139,110133,110106,110178,110093
13Nov1980,110031,110031,110025,109998,110070,109985
14Nov1980,109874,109874,109868,109841,109913,109828
15Nov1980,109688,109688,109682,109655,109727,109642
16Nov1980,109527,109527,109521,109494,109566,109481
17Nov1980,109213,109213,109207,109180,109252,109167
18Nov1980,109088,109088,109082,109055,109127,109042
19Nov1980,108895,108895,108889,108862,108935,108850
20Nov1980,108735,108735,108729,108702,108774,108690
21Nov1980,108574,108574,108568,108541,108613,108529
22Nov1980,108373,108373,108367,108340,108413,108328
23Nov1980,108189,108189,108249,108156,108228,108209
24Nov1980,108078,108078,108138,108045,108117,108099
25Nov1980,107958,107958,108018,107925,107997,107979
26Nov1980,107772,107772,107832,107739,107811,107792
27Nov1980,107650,107650,107709,107616,107689,107670
28Nov1980,107442,107442,107502,107409,107482,107463
29Nov1980,107334,107334,107460,107301,107373,107421
30Nov1980,107082,107082,107135,107049,107049,107096
01Dec1980,106763,106763,106850,106730,106730,106778
02Dec1980,106577,106577,106657,106544,106544,106552
03Dec1980,106482,106482,106622,106449,106449,106517
04Dec1980,106646,106646,106814,106613,106613,106675
05Dec1980,106423,106456,106584,106423,106422,106412
06Dec1980,106156,106189,106377,106156,106156,106107
07Dec1980,105770,105803,106051,105770,105770,105747
08Dec1980,105448,105481,105789,105448,105448,105420
09Dec1980,105270,105303,105565,105270,105270,105235
10Dec1980,105061,105094,105489,105061,105061,105125
11Dec1980,104946,104979,105428,104946,104946,104965
12Dec1980,104648,104681,105150,104648,104648,104726
13Dec1980,104308,104374,104831,104341,104341,104479
14Dec1980,103972,104038,104521,104005,104005,104137
15Dec1980,103571,103637,104247,103604,103604,103869
16Dec1980,103390,103456,104092,103423,103423,103648
17Dec1980,103235,103302,103820,103268,103268,103415
18Dec1980,103003,103069,103608,103036,103036,103242
19Dec1980,102802,102723,103461,102690,102690,103062
20Dec1980,102554,102476,103207,102443,102443,102775
21Dec1980,102321,102275,102928,102209,102209,102503
22Dec1980,102148,102102,102670,102036,102036,102284
23Dec1980,101984,101939,102395,101873,101873,102154
24Dec1980,101941,101968,102234,101902,101902,102032
25Dec1980,101861,101887,102069,101821,101821,102018
26Dec1980,101734,101761,101864,101728,101695,101885
27Dec1980,101576,101603,101700,101569,101536,101720
28Dec1980,101272,101299,101423,101266,101233,101377
29Dec1980,100926,100953,101136,100920,100959,101058
30Dec1980,100569,100596,100806,100563,100602,100695
31Dec1980,100275,100302,100473,100203,100308,100434
01Jan1981,100057,100083,100255,99984,100090,100216
02Jan1981,99833,99860,100031,99761,99866,99992
03Jan1981,99620,99646,99818,99547,99653,99779
04Jan1981,99465,99492,99663,99393,99498,99624
05Jan1981,99276,99303,99474,99204,99309,99435
06Jan1981,99067,99094,99265,98995,99100,99226
07Jan1981,98845,98872,99043,98773,98878,99004
08Jan1981,98621,98647,98819,98548,98654,98780
09Jan1981,98392,98419,98590,98320,98425,98551
10Jan1981,98162,98188,98360,98089,98195,98321
11Jan1981,97925,97952,98124,97853,97958,98084
12Jan1981,97682,97709,97880,97610,97715,97841
13Jan1981,97438,97465,97636,97365,97471,97597
14Jan1981,97191,97218,97390,97119,97224,97350
15Jan1981,96942,96969,97140,96870,96975,97101
16Jan1981,96711,96738,96910,96639,96745,96871
17Jan1981,96495,96522,96693,96423,96528,96654
18Jan1981,96273,96299,96471,96200,96306,96432
19Jan1981,96047,96074,96245,95975,96080,96206
20Jan1981,95815,95842,96014,95743,95848,95974
21Jan1981,95596,95622,95794,95523,95629,95755
22Jan1981,95405,95432,95603,95332,95438,95564
23Jan1981,95401,95428,95599,95329,95434,95560
24Jan1981,95423,95450,95621,95351,95456,95582
25Jan1981,95365,95392,95563,95293,95398,95524
26Jan1981,95247,95274,95445,95175,95280,95406
27Jan1981,95268,95295,95466,95196,95301,95427
28Jan1981,95289,95315,95487,95216,95322,95448
29Jan1981,95303,95329,95501,95230,95336,95462
30Jan1981,95323,95350,95522,95251,95357,95483
31Jan1981,95351,95378,95550,95279,95384,95510
01Feb1981,95392,95419,95590,95320,95425,95551
02Feb1981,95472,95499,95671,95400,95505,95631
03Feb1981,95549,95575,95747,95476,95582,95708
04Feb1981,95623,95649,95821,95550,95656,95782
05Feb1981,95697,95724,95895,95624,95730,95856
06Feb1981,95770,95797,95968,95698,95803,95929
07Feb1981,95839,95866,96037,95767,95872,95998
08Feb1981,95895,95922,96093,95823,95928,96054
09Feb1981,95940,95967,96139,95868,95973,96099
10Feb1981,95982,96008,96180,95909,96015,96141
11Feb1981,96051,96078,96249,95979,96084,96210
12Feb1981,96125,96152,96323,96052,96158,96284
13Feb1981,96457,96484,96655,96385,96490,96616
14Feb1981,97874,97901,98072,97802,97907,98033
15Feb1981,98528,98555,98726,98455,98561,98687
16Feb1981,99295,99321,99493,99222,99328,99454
17Feb1981,100117,100144,100315,100044,100150,100276
18Feb1981,100821,100848,101019,100749,100854,100980
19Feb1981,101753,101780,101951,101680,101786,101912
20Feb1981,102553,102579,102751,102480,102586,102712
21Feb1981,103165,103192,103363,103093,103198,103324
22Feb1981,103733,103759,103931,103660,103766,103892
23Feb1981,104298,104325,104497,104226,104331,104457
24Feb1981,104792,104819,104990,104719,104825,104951
25Feb1981,105241,105268,105439,105169,105274,105400
26Feb1981,105633,105660,105831,105561,105666,105792
27Feb1981,106010,106037,106208,105938,106043,106169
28Feb1981,106357,106384,106555,106285,106390,106516
01Mar1981,106687,106714,106885,106614,106720,106846
02Mar1981,106987,107013,107185,106914,107020,107146
03Mar1981,107271,107297,107469,107198,107304,107430
04Mar1981,107566,107593,107765,107494,107599,107725
05Mar1981,107860,107887,108058,107788,107893,108019
06Mar1981,108152,108179,108350,108080,108185,108311
07Mar1981,108442,108469,108640,108369,108475,108601
08Mar1981,108729,108756,108928,108657,108762,108888
09Mar1981,109015,109042,109213,108943,109048,109174
10Mar1981,109299,109326,109497,109227,109332,109458
11Mar1981,109581,109608,109779,109509,109614,109740
12Mar1981,109861,109887,110059,109788,109894,110020
13Mar1981,110138,110165,110337,110066,110171,110297
14Mar1981,110414,110441,110612,110342,110447,110573
15Mar1981,110658,110685,110856,110586,110691,110817
16Mar1981,110918,110945,111116,110846,110951,111077
17Mar1981,111181,111208,111379,111109,111214,111340
18Mar1981,111447,111474,111645,111375,111480,111606
19Mar1981,111743,111770,111941,111671,111776,111902
20Mar1981,112042,112069,112240,111970,112075,112201
21Mar1981,112371,112398,112569,112299,112404,112530
22Mar1981,112745,112771,112943,112672,112778,112904
23Mar1981,113204,113231,113402,113132,113237,113363
24Mar1981,113669,113696,113867,113596,113702,113828
25Mar1981,114681,114708,114879,114609,114714,114840
26Mar1981,115394,115421,115592,115322,115427,115553
27Mar1981,115859,115886,116057,115786,115892,116018
28Mar1981,116314,116340,116512,116241,116347,116472
29Mar1981,116758,116785,116957,116686,116791,116917
30Mar1981,117149,117176,117348,117077,117182,117308
31Mar1981,117515,117542,117713,117443,117548,117674
01Apr1981,117889,117916,118087,117817,117922,118048
02Apr1981,118221,118248,118419,118148,118254,118380
03Apr1981,118540,118566,118738,118467,118573,118698
04Apr1981,118906,118932,119104,118833,118939,119064
05Apr1981,119365,119391,119563,119292,119398,119524
06Apr1981,119903,119929,120101,119830,119936,120062
07Apr1981,120444,120471,120642,120372,120477,120603
08Apr1981,120973,121000,121171,120901,121006,121132
09Apr1981,121551,121578,121749,121479,121584,121710
10Apr1981,122133,122160,122331,122061,122166,122292
11Apr1981,122656,122682,122854,122583,122689,122814
12Apr1981,123165,123192,123363,123093,123198,123324
13Apr1981,123726,123752,123924,123653,123759,123884
14Apr1981,124416,124443,124614,124344,124449,124575
15Apr1981,125206,125233,125404,125134,125239,125365
16Apr1981,126032,126059,126230,125960,126065,126191
17Apr1981,126911,126938,127109,126839,126944,127070
