date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
10/31/80,0,0,0,0,0,0
11/30/80,0,0,0,0,0,0
12/31/80,0,0,0,0,0,0
1/31/81,8845,8845,8846,8844,8845,8846
2/28/81,1054,1054,1054,1054,1054,1054
3/31/81,2086,2086,2087,2086,2086,2087
4/30/81,1014,1014,1014,1013,1014,1014
5/31/81,852,852,852,852,852,852
6/30/81,11109,11109,11110,11108,11109,11109
7/31/81,42507,42508,46857,42742,42744,45331
8/31/81,41790,42141,46415,42720,42488,45381
9/30/81,40224,40230,45753,40568,40458,43672
10/31/81,48960,48960,48960,48960,48960,48960
11/30/81,25464,25464,25693,25464,25464,25808
12/31/81,35927,36041,41193,36040,35927,39360
1/31/82,91594,91594,91594,91594,91594,91594
2/28/82,83280,83280,83280,83280,83280,83280
3/31/82,93474,93474,93474,93474,93474,93474
4/30/82,91376,91376,91381,91376,91376,91381
5/31/82,93579,93579,93579,93579,93579,93579
6/30/82,89895,89895,89895,89895,89895,89895
7/31/82,89496,89496,89496,89496,89496,89496
8/31/82,73364,73247,72893,73247,73247,73128
9/30/82,67463,67458,68336,67459,67466,68183
10/31/82,313,313,313,313,313,313
11/30/82,64399,64405,64450,64402,64406,64435
12/31/82,88927,88932,70589,88929,88932,79930
1/31/83,49068,49062,57453,49188,49193,54537
2/28/83,61762,61635,65163,61764,61888,63865
3/31/83,80258,80254,84130,80264,80269,82546
4/30/83,87745,87745,87910,87759,87764,87882
5/31/83,90979,90979,91142,90993,90998,91114
6/30/83,88629,88629,89957,88631,88632,89286
7/31/83,92050,92050,92050,92050,92050,92050
8/31/83,89310,89310,89310,89310,89310,89310
9/30/83,81662,81662,81846,81662,81662,81843
10/31/83,109,109,109,109,109,109
11/30/83,79305,79299,79580,79305,79309,79485
12/31/83,83281,83271,83700,83285,83293,83562
1/31/84,88415,88415,89930,88417,88415,89725
2/29/84,66964,67084,71666,67208,67204,69894
3/31/84,58566,58564,63451,58823,58831,61901
4/30/84,30729,30730,31363,30730,30728,30991
5/31/84,77958,77960,80860,77959,77956,78243
6/30/84,48409,48410,48419,48410,48408,48437
7/31/84,67540,67660,68872,67778,67538,69491
8/31/84,59763,59644,59883,59760,59761,59897
9/30/84,55918,55801,56392,55917,55917,56520
10/31/84,94,94,94,94,94,94
11/30/84,80390,80388,81773,80396,80394,81772
12/31/84,83523,83519,83617,83530,83527,83616
1/31/85,19,19,19,19,19,19
2/28/85,564,564,565,564,564,565
3/31/85,942,942,943,942,942,942
4/30/85,7694,7812,11168,7932,7932,9605
5/31/85,782,782,782,782,782,782
6/30/85,13776,13776,13785,13775,13775,13775
7/31/85,52408,52523,55233,52649,52648,54116
8/31/85,49461,49459,52382,49585,49585,51275
9/30/85,47713,47715,51778,47958,47959,50352
10/31/85,579,579,580,579,579,580
11/30/85,47809,47926,55600,48041,48157,52883
12/31/85,75869,76326,86058,76439,76666,85986
1/31/86,3421,3421,3419,3421,3421,3417
2/28/86,48520,48519,49607,48520,48518,48849
3/31/86,93243,93243,93247,93243,93243,93239
4/30/86,89211,89211,89199,89211,89211,89205
5/31/86,81425,81425,81165,81425,81425,81294
6/30/86,71374,71374,72140,71374,71374,72027
7/31/86,52051,52051,50557,52051,52051,51250
8/31/86,44713,44713,44369,44595,44594,44486
9/30/86,40425,40431,41783,40428,40433,42138
10/31/86,530,530,531,530,530,531
11/30/86,28729,28731,36079,29084,29084,33619
12/31/86,71793,71913,84604,73519,73861,84551
1/31/87,8576,8576,8576,8576,8576,8576
2/28/87,1797,1797,1797,1797,1797,1797
3/31/87,1177,1177,1177,1177,1177,1177
4/30/87,53,53,53,53,53,53
5/31/87,8312,8312,8312,8312,8312,8312
6/30/87,13317,13317,13316,13317,13317,13317
7/31/87,37224,37341,41871,37921,38152,41055
8/31/87,38035,38150,41359,38374,38371,39864
9/30/87,33607,33834,36912,33828,33826,35184
10/31/87,598,598,598,598,598,598
11/30/87,20282,20282,20852,20282,20282,20850
12/31/87,22084,22084,25973,22084,22084,25056
1/31/88,757,757,757,757,757,757
2/29/88,674,674,674,674,674,674
3/31/88,427,427,427,427,427,427
4/30/88,148,148,148,148,148,148
5/31/88,11900,11900,11900,11899,11900,11900
6/30/88,14467,14467,14468,14466,14466,14467
7/31/88,42739,42856,46732,42860,42976,45919
8/31/88,42272,42278,46051,42517,42744,44790
9/30/88,36820,36826,41079,36832,36831,39396
10/31/88,406,406,407,406,406,407
11/30/88,10124,10124,15920,10229,10229,13624
12/31/88,20270,20496,36956,21176,21402,33556
1/31/89,161,161,161,161,161,161
2/28/89,1018,1018,1017,1018,1018,1017
3/31/89,10960,10961,10953,10960,10960,10956
4/30/89,28684,28684,32424,29049,29171,31583
5/31/89,15434,15460,12528,15566,15479,13700
6/30/89,62018,61909,61965,61789,61789,61789
7/31/89,78981,78864,78983,78986,78986,78868
8/31/89,62101,62105,62104,62106,62106,62108
9/30/89,59465,59356,61068,59356,59359,60732
10/31/89,421,421,423,422,422,422
11/30/89,16526,16863,25783,17538,17651,23180
12/31/89,33605,34277,58767,35059,35507,51156
1/31/90,369,369,369,369,369,369
2/28/90,128,128,128,128,128,128
3/31/90,1594,1594,1594,1594,1594,1594
4/30/90,306,306,306,306,306,306
5/31/90,4829,4829,4829,4829,4829,4829
6/30/90,8918,8918,8918,8918,8918,8918
7/31/90,50891,50891,54869,51429,51548,53686
8/31/90,51039,51039,56398,51270,51389,55115
9/30/90,48686,48805,56095,49499,49731,54471
10/31/90,445,445,446,445,445,446
11/30/90,35369,35487,40516,35372,35489,39102
12/31/90,51847,52078,63578,51964,52079,58974
1/31/91,5124,5124,5125,5125,5124,5124
2/28/91,3235,3235,3235,3235,3235,3235
3/31/91,1362,1362,1362,1362,1362,1362
4/30/91,2085,2085,2085,2085,2085,2085
5/31/91,1501,1501,1501,1501,1501,1501
6/30/91,3587,3587,3587,3587,3587,3587
7/31/91,50406,50524,58104,50996,50995,54912
8/31/91,47446,47910,56121,48370,48369,54042
9/30/91,44079,44187,53321,44749,44749,50782
10/31/91,483,483,483,483,483,483
11/30/91,22914,23029,27164,23493,23494,26127
12/31/91,28228,28342,35631,29254,29369,33917
1/31/92,731,731,731,731,731,731
2/29/92,1182,1182,1182,1182,1182,1182
3/31/92,956,956,956,956,956,956
4/30/92,87,87,87,87,87,87
5/31/92,7635,7635,7634,7634,7634,7635
6/30/92,18863,18863,18863,18862,18862,18864
7/31/92,38312,38311,40823,38654,38885,40181
8/31/92,37360,37360,39719,37538,37538,39066
9/30/92,31682,31687,33599,31689,31764,32733
10/31/92,381,381,381,381,381,381
11/30/92,25058,25630,35028,26085,26086,32271
12/31/92,36921,37377,53324,37940,38169,47732
1/31/93,5931,5930,5933,5931,5931,5932
2/28/93,18850,18850,20140,18850,18968,20021
3/31/93,26528,26654,29802,27249,27485,29312
4/30/93,57542,57786,67239,59491,59493,63078
5/31/93,90957,90960,90981,90934,90936,91006
6/30/93,89441,89444,89882,89420,89423,89902
7/31/93,87376,87379,87664,87241,87362,87802
8/31/93,62870,62872,64560,62625,62625,64571
